title;research_area;country;issn;issn2
iar journal of humanities and cultural studies;social sciences: comprehensive works;kenya;2709-3328;2709-3336
iar journal of humanities and social science;social sciences: comprehensive works;kenya;2708-6259;2708-6267
iar journal of medical case reports;medical sciences;kenya;2709-3220;2709-3239
iar journal of medical sciences;medical sciences;kenya;2708-3594;NA
iar journal of medicine and surgery research;medical sciences - surgery;kenya;2709-1899;2709-1902
iar journal of parasitology infectious disease;medical sciences - communicable diseases;kenya;2789-6072;2789-6080
iar journal of pharmacy;pharmacy and pharmacology;kenya;2709-9504;2709-9512
iar journal of tourism and business management;travel and tourism;kenya;2789-6013;2789-6021
iarmedical series;medical sciences;kenya;2709-3247;2709-3255
iasa journal;sound recording and reproduction;south africa;1021-562X;NA
iatul proceedings online;library and information sciences;south africa;1560-8581;NA
ibadan tropical medicine series;medical sciences;nigeria;null;NA
ibla;literature asian studies;tunisia;0018-862X;NA
ibom medical journal;medical sciences;nigeria;1597-7188;NA
icgst international journal on graphics vision and image processing;computers;egypt arab republic of egypt;1687-398X;1687-3998
icgst journal of automatic control and system engineering;engineering computers - computer engineering;egypt arab republic of egypt;1687-4811;1687-482X
ideal international journal of igbo scholars forum nigeria;history - history of africa asian studies;nigeria;2476-8421;NA
identity culture and politics;political science sociology;senegal;0851-2914;NA
idis journal of international studies and diplomacy;political science - international relations;kenya;2415-024X;NA
idosr journal of applied sciences;sciences: comprehensive works;nigeria;2550-7931;NA
idosr journal of arts and humanities;art humanities: comprehensive works;nigeria;2579-0773;NA
idosr journal of arts and management;art humanities: comprehensive works business and economics - management;nigeria;2550-7974;NA
idosr journal of banking economics and social sciences;business and economics - banking and finance business and economics social sciences: comprehensive works;nigeria;2579-082X;NA
idosr journal of biochemistry biotechnology and allied fields;biology - biochemistry biology - biotechnology;nigeria;2579-0811;NA
idosr journal of biology chemistry and pharmacy;biology chemistry pharmacy and pharmacology;nigeria;2579-0730;NA
idosr journal of communication and english;sociology;nigeria;2550-7958;NA
idosr journal of computer and applied sciences;computers;nigeria;2579-0803;NA
idosr journal of current issues in arts and humanities;art humanities: comprehensive works;nigeria;2579-0757;NA
idosr journal of current issues in social sciences;social sciences: comprehensive works;nigeria;2579-0765;NA
idosr journal of experimental science;sciences: comprehensive works;nigeria;2579-0781;NA
idosr journal of humanities and social sciences;humanities: comprehensive works social sciences: comprehensive works;nigeria;2550-7966;NA
idosr journal of science and technology;sciences: comprehensive works;nigeria;2579-079X;NA
idosr journal of scientific research;sciences: comprehensive works;nigeria;2550-794X;NA
ier flambeau;education;ethiopia;null;NA
ife african studies;history - history of africa;nigeria;0331-0191;NA
ife journal of agriculture;agriculture;nigeria;0331-6351;NA
ife journal of history;history - history of africa;nigeria;1116-4689;2504-8899
ife journal of science;sciences: comprehensive works;nigeria;0794-4896;NA
ife journal of science and technology;sciences: comprehensive works;nigeria;2504-897X;NA
ife journal of the humanities and social sciences;humanities: comprehensive works social sciences: comprehensive works;nigeria;2360-7769;NA
ife psychologia;psychology;nigeria;1117-1421;NA
ife studies in english language;linguistics;nigeria;0794-9804;NA
ifra documents in social sciences and humanities;political science - international relations sociology;nigeria;null;NA
ifra occasional publications;political science - international relations sociology;nigeria;null;NA
ifsmrc african international journal of research in management;business and economics - management;ethiopia;2308-1341;2308-3034
igbo scholars international journal of igbo scholars forum nigeria;history - history of africa asian studies;nigeria;2476-843X;NA
igwebuike journal;humanities: comprehensive works;nigeria;2488-9210;2504-9038
iiard international journal of economics and business management;business and economics;nigeria;2489-0065;NA
iiard international journal of geography and environmental management;geography;nigeria;2504-8821;NA
ijagun journal of history and diplomacy;history - history of africa political science;nigeria;2408-5707;NA
ijsar journal of advanced management and social sciences;business and economics - management social sciences: comprehensive works;nigeria;2408-767X;NA
ijsar journal of advancement in education and computing;education;nigeria;2408-7661;NA
ijsar journal of engineering and computing;engineering computers - computer engineering;nigeria;2408-7653;NA
ijsar journal of environmental earth and physical sciences;sciences: comprehensive works;nigeria;2408-7645;NA
ijsar journal of law and allied disciplines;law;nigeria;2408-7629;NA
ijsar journal of life and applied sciences;biology chemistry;nigeria;2408-7610;NA
ijsar journal of mathematics and applied statistics;mathematics;nigeria;2408-7637;NA
ikenga;ethnic interests;nigeria;0331-0205;NA
ikoro;history - history of africa;nigeria;null;NA
ilorin journal of accounting;business and economics - accounting;nigeria;2408-5375;NA
ilorin journal of computer science and information technology;computers;nigeria;2550-7214;NA
ilorin journal of economic policy;business and economics;nigeria;2449-0512;NA
ilorin journal of marketing;business and economics - marketing and purchasing;nigeria;2465-7417;NA
ilorin journal of religious studies;religions and theology;nigeria;2141-7040;NA
ilorin journal of science;sciences: comprehensive works;nigeria;2408-4816;NA
image text;art;south africa;1021-1497;2617-3255
imbizo;literature;south africa;2078-9785;NA
imhotep;mathematics;cameroon;1608-9324;NA
imt international journal of the arts and sciences;sciences: comprehensive works social sciences: comprehensive works;nigeria;2579-1362;NA
in die skriflig;religions and theology - protestant;south africa;1018-6441;2305-0853
in translation;linguistics literature;algeria;2353-0073;2602-6902
incedi proceedings;education - teaching methods and curriculum;ghana;2590-9622;NA
indago;biology;south africa;null;NA
indicator south africa;social sciences: comprehensive works;south africa;0259-188X;NA
indilinga;library and information sciences computers - information science and information theory;south africa;1683-0296;NA
indo pacific journal of phenomenology;psychology;south africa;2079-7222;1445-7377
industrial law journal;law - corporate law;south africa;0258-249X;2413-9882
information impact;library and information sciences;nigeria;2141-4297;2360-994X
information technology research journal;computers;ghana;2026-6715;NA
infotax;business and economics - public finance taxation law;south africa;1027-3514;NA
ingede;education;south africa;1815-3933;NA
inkanyiso;humanities: comprehensive works social sciences: comprehensive works;south africa;2077-2815;2077-8317
inkundla;law;south africa;2227-0817;NA
innovant;psychology;south africa;1022-0798;NA
innovation;library and information sciences;south africa;1025-8892;NA
innovation research symposium proceedings;sciences: comprehensive works;kenya;2617-0701;NA
inrternational journal of modern anthropology;anthropology;tunisia;1737-7374;1737-8176
insaniyat;social sciences: comprehensive works;algeria;1111-2050;2253-0738
institut francais darcheologie orientale du caire bulletin;archaeology asian studies;egypt arab republic of egypt;0255-0962;NA
institut francais darcheologie orientale du caire documents de fouilles;archaeology;egypt arab republic of egypt;0768-2964;NA
institut francais darcheologie orientale du caire memoires;archaeology;egypt arab republic of egypt;0257-411X;NA
